
 Training with LR: 0.001, Batch Size: 32, Optimizer: SGD, Activation: ReLU
Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall
1,0.7661373776532029,85.14489795918368,0.8539232429767502,0.8489484405711771
2,0.21667324894839807,95.18571428571428,0.9514348045698959,0.9513710851879541
3,0.15134073521299946,96.43061224489796,0.9640474246394793,0.9640106829655448
4,0.12155274718248482,97.08163265306122,0.9706040493790858,0.9706091669462736
5,0.10335648790860243,97.38163265306122,0.9736714282076433,0.9736269771281233
6,0.09004190850786514,97.73877551020408,0.9772577152333675,0.977225607737245
7,0.08102978966940515,98.0,0.9798549429834094,0.979879984955111
8,0.07352104887284834,98.10612244897959,0.9809545035827693,0.9809474877314237
9,0.06772988558231365,98.28367346938775,0.9827644281628676,0.9827273551205652
10,0.06255084479211856,98.43673469387755,0.9843031470567934,0.9842635018398218
11,0.057557005160451716,98.57551020408162,0.9856854615399925,0.9856494721046773
12,0.05407564774947119,98.67551020408163,0.9866820889915481,0.9866730263694541
13,0.05051442785200714,98.75102040816327,0.9874464029772352,0.987408880874961
14,0.047766938803452445,98.82244897959184,0.9881728121027725,0.9881498354081506
15,0.04480105641224438,98.83877551020407,0.9883404300295732,0.9882776404987131
16,0.04195199713220956,98.98979591836735,0.9898685324359391,0.9898283060664191
17,0.03945659961168139,99.06122448979592,0.9905696075821938,0.9905599123675778
18,0.03789368195701804,99.06530612244899,0.9906044947791279,0.9905974588905708
19,0.03587670777769341,99.13877551020408,0.9913669716301661,0.9913085452424854
20,0.03398264240362261,99.2265306122449,0.9922504147822124,0.9922158277958877
21,0.03260631542055571,99.21224489795918,0.9920889159928695,0.9920643309717561
22,0.030830723364830174,99.26938775510204,0.9926598175446781,0.9926440330321524
23,0.0291351368497296,99.35306122448979,0.9935040366727174,0.9934896024156658
24,0.02765331046160933,99.40204081632653,0.9940059119162796,0.9939727080155482
25,0.026667328332335014,99.40816326530613,0.9940647861039837,0.9940502219477363
26,0.025302382136282314,99.47755102040816,0.9947673677276179,0.9947526799700743
27,0.02416886872120746,99.4938775510204,0.9949270252571653,0.9949164015839411
28,0.022614638967313087,99.56530612244899,0.9956429820704497,0.9956094567627061
29,0.021519324489023873,99.61224489795917,0.9961135393399603,0.9960930512596562
30,0.020851358957573476,99.61632653061224,0.9961535888338655,0.9961412637677256
31,0.01997321429337173,99.66122448979591,0.9965998048648818,0.9965942191536756
32,0.018961350767386594,99.68367346938776,0.9968427135854183,0.9968194015964149
33,0.01817647697759352,99.70204081632653,0.997008501143912,0.9970004183553488
34,0.017406263018892313,99.7265306122449,0.997259549835203,0.9972595343508892
35,0.01639485325467926,99.76938775510204,0.9977056342544236,0.997684845568874
36,0.016052147211016377,99.76326530612245,0.9976367611457698,0.9976147916773656
37,0.015317235888737587,99.77551020408163,0.9977441517642216,0.9977470562273737
38,0.014665472949300309,99.81224489795918,0.998119670735151,0.9981219880876256
39,0.013739388356746391,99.86326530612246,0.9986321796046352,0.9986287329227024
40,0.013387088712813047,99.84081632653061,0.998415938334188,0.9983965296901989
41,0.012782495129316548,99.85714285714286,0.9985814407930199,0.9985623543760536

 Training with LR: 0.001, Batch Size: 32, Optimizer: SGD, Activation: LeakyReLU
Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall
1,0.7839731249481673,84.94081632653061,0.8504420420497263,0.8466273401786063
2,0.21741148715658848,95.25510204081633,0.9522314762403852,0.9521468910634315
3,0.1501762437823839,96.53469387755102,0.9651539340997409,0.9651002928591994
4,0.1201521799688084,97.08163265306122,0.9706711812000993,0.9705916594098805
5,0.10228299616724155,97.41836734693877,0.9740691195214929,0.9740021785372738
6,0.08975904407624068,97.73061224489797,0.9772069671195857,0.9771464623789188
7,0.08036374112903615,98.01224489795919,0.9800396396566416,0.9799738339049014
8,0.07291874541674909,98.15102040816328,0.9814307236507265,0.9813764412424684
9,0.06696714668087272,98.30816326530612,0.9830107032180246,0.9829870602497037
10,0.06214629580004155,98.40816326530613,0.9840325678586515,0.983989870547226
11,0.05771339088362245,98.5142857142857,0.9851000074922917,0.985067993814088
12,0.05387970269703265,98.62244897959184,0.9861882732943903,0.9861637045125938
13,0.05021471787255024,98.73877551020408,0.9873520957834339,0.9873239664040371
14,0.04797536965265661,98.79591836734693,0.9879095993397671,0.9879001110441864
15,0.04480840405449271,98.91428571428571,0.9891210801071214,0.989084588317281
16,0.04254347944523356,98.97142857142858,0.9896928695078897,0.9896559222788481
17,0.04009599172326009,99.02448979591837,0.9902511790591484,0.9902042171731038
18,0.03808953612830062,99.07755102040817,0.9907455783476035,0.990725147991599
19,0.036495080094616716,99.14489795918368,0.9914142788367102,0.9914171810679718
20,0.034634602830900904,99.21632653061224,0.9921350319699467,0.992130821020673
21,0.03321927650863555,99.2204081632653,0.9921953497263603,0.992155634659339
22,0.03120202514382174,99.35918367346939,0.9935980269137188,0.9935814101196584
23,0.029731101559185697,99.34897959183674,0.9934909197363181,0.9934719673611513
24,0.02889102284166434,99.37142857142857,0.9937245739220189,0.9936954278686715
25,0.027435226331272846,99.43265306122449,0.9943393122157052,0.9943086956029701
26,0.02578816427744368,99.4857142857143,0.9948765191169141,0.9948590121602441
27,0.024690761063253998,99.5,0.9950165184743058,0.9949931995542686
28,0.02349596695271418,99.5530612244898,0.9955544159159844,0.9954954572706557
29,0.02260572761645256,99.57551020408162,0.9957694419499049,0.9957552816089985
30,0.02176423976140847,99.57551020408162,0.9957623204904026,0.9957507870856173
31,0.020763678949170652,99.62448979591836,0.996273833316013,0.9962374949953828
32,0.01981374542624781,99.65306122448979,0.9965365081229527,0.9965229590091
33,0.018912847096698635,99.68571428571428,0.9968847305273663,0.996854862370579
34,0.018056665546584184,99.72244897959183,0.997227048816803,0.9972290464167335
35,0.01736323150777861,99.73673469387755,0.9973935342411074,0.9973614565506631
36,0.016535925955965133,99.76326530612245,0.9976437707146278,0.9976331807393226
37,0.016140554980836885,99.76122448979592,0.9976226441570569,0.9976172503913776
38,0.015210001346671604,99.78979591836735,0.9979084075173852,0.9978932071714913
39,0.01465713206357043,99.81428571428572,0.9981566687554645,0.9981390646143845
40,0.013968447424790836,99.8265306122449,0.9982773924470723,0.9982696878730757
41,0.013523199776555023,99.85918367346939,0.9985995449737596,0.9985871407596048
42,0.01297315766296806,99.85306122448979,0.9985291552680643,0.9985297211259592
43,0.01253634535975547,99.8734693877551,0.9987412643321536,0.9987287875322662
44,0.011795532292617709,99.90408163265306,0.9990496874131061,0.9990388347732597
45,0.011452345322632455,99.9,0.9990080593278258,0.9989995959882071
46,0.011013203159765846,99.92448979591838,0.9992582391352819,0.9992505533266787
47,0.010559135627473569,99.93469387755101,0.9993607760218733,0.9993517611697659
48,0.010245314785191187,99.95102040816326,0.9995185352859091,0.9995187338405399
49,0.009952956973837218,99.94081632653061,0.999417273688269,0.9994150914746225
50,0.009605698475750058,99.9469387755102,0.9994787211157984,0.999470275232131

 Training with LR: 0.001, Batch Size: 32, Optimizer: SGD, Activation: ELU
Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall
